date,actual_close,point_forecast,pred_lo,pred_hi,actual_ret,pred_ret,signal_scheme_1prime,blocked,tc_cost,pnl
2024-03-04,63289.0,63293.19818246554,61963.06568548862,63745.005707837976,0.013473412494205679,0.013539743819263464,0.0,1,0.0,0.0
2024-03-05,64413.0,63940.77597787167,62583.95662005822,64364.70614167134,0.017603937714696833,0.010245741211845929,0.0,1,0.0,0.0
2024-03-06,64420.0,64611.611338789706,63122.3769421107,64919.22725756232,0.0001086678103730116,0.0030786606307308807,0.0,1,0.0,0.0
2024-03-07,65007.0,64953.55454986251,63860.01496045273,65676.46541361493,0.0090708125018764,0.008248325196623985,0.0,1,0.0,0.0
2024-03-08,65007.0,65295.784128487016,63748.055611190735,65564.36657446378,0.0,0.004432516208076304,0.0,1,0.0,0.0
2024-03-11,65548.0,65299.3486383699,64184.46662985769,65981.48980926958,0.00828774227904857,0.004487104917597633,0.0,1,0.0,0.0
2024-03-12,65531.0,65487.213066747674,64409.883396420555,66201.51398709782,-0.00025938556283336075,-0.0009277954557426053,-0.0,1,0.0,0.0
2024-03-13,65182.0,65514.16619980283,64630.59975775506,66415.72537061002,-0.005339955923505896,-0.00025691600503753966,-0.0,1,0.0,0.0
2024-03-14,65309.0,65429.06734604078,64738.10816722557,66543.95446687385,0.0019464950088295123,0.003783257357149487,0.0,1,0.0,0.0
2024-03-15,65365.0,65450.392165595615,64479.6044671177,66254.362073028,0.0008570948073555311,0.0021626319664117184,0.0,1,0.0,0.0
2024-03-18,65258.0,65389.24792551171,64623.407017196434,66390.8474014652,-0.0016383029624592784,0.0003708931246880776,0.0,1,0.0,-0.0
2024-03-19,65349.0,65476.83124374173,64513.23076382771,66315.96009353295,0.0013934936829649207,0.0033477145460549715,0.0,1,0.0,0.0
2024-03-20,65446.0,65777.49445717929,64868.979011451884,66658.88808587758,0.001483237398727394,0.006535612565352535,0.0,1,0.0,0.0
2024-03-21,66679.0,65935.85965937334,64977.894230178325,66755.89138000342,0.018664685636480653,0.0074570710240696595,0.0,1,0.0,0.0
2024-03-22,65975.0,66351.95729608231,65207.47044230442,66999.41592372398,-0.010614178380149513,-0.004916800862259855,-0.0,1,0.0,0.0
2024-03-25,65975.0,66264.08549568082,65757.71663544104,67555.48209319041,0.0,0.004372171133933386,0.0,1,0.0,0.0
2024-03-26,66432.0,66188.43044001037,65176.923344062496,67002.22459344738,0.006902985713980982,0.0032297985128687833,0.0,1,0.0,0.0
2024-03-27,66501.0,66658.35021721628,64944.950444968636,66731.01585915893,0.0010381170393612843,0.0034014552532804793,0.0,1,0.0,0.0
2024-03-28,66987.0,66843.90082798967,65978.21398067802,67794.30171120494,0.007281585571263053,0.005143077563616392,0.0,1,0.0,0.0
2024-03-29,66987.0,67039.3669533637,65831.94924049432,67654.2177268749,0.0,0.000781442595497039,0.0,1,0.0,0.0
2024-04-01,66987.0,67543.32212836758,66218.52305508207,68049.46376479219,0.0,0.008270630602128013,0.0,1,0.0,0.0
2024-04-02,68431.0,67785.71568286415,66635.24246473369,68480.03644473609,0.02132736761726014,0.01185291889194903,0.0,1,0.0,0.0
2024-04-03,68807.0,68670.04090738067,67918.31518520623,69766.30682863503,0.00547954561850267,0.0034870800107897615,0.0,1,0.0,0.0
2024-04-04,69101.0,69064.82339083648,68087.89368585082,69938.024462733,0.004263718499182098,0.003740049054707225,0.0,1,0.0,0.0
2024-04-05,69656.0,69377.67861998401,68299.7283204463,70160.5024072793,0.007999639077376408,0.003995979610793507,0.0,1,0.0,0.0
2024-04-08,69656.0,70259.85198204983,68156.94161636136,70259.85198204983,0.0,0.0086316985919518,0.0,1,0.0,0.0
2024-04-09,71011.0,70430.71145556601,69575.24238835087,71392.13649438134,0.019265953092118118,0.01106056877825166,0.0,1,0.0,0.0
2024-04-10,71607.0,71179.00132494779,70012.63665571916,71851.44327595938,0.008358039932574127,0.0023630550890968924,0.0,1,0.0,0.0
2024-04-11,71536.0,71494.59352616803,70359.38585393308,72214.57487683176,-0.0009920150593819058,-0.0015710027286334302,-0.0,1,0.0,0.0
2024-04-12,71536.0,71626.21164520594,70710.96029766668,72580.68914409746,0.0,0.0012602719126700442,0.0,1,0.0,0.0
2024-04-15,71536.0,71898.6706102179,70638.34539803388,72456.09757324579,0.0,0.005056955637711762,0.0,1,0.0,0.0
2024-04-16,72266.0,71907.37032398292,71494.37182145438,73312.55577771983,0.010152936270954259,0.005177947964864562,0.0,1,0.0,0.0
2024-04-17,73012.0,72397.69359819614,71617.85035100579,73426.97250464559,0.010270055437958685,0.0018206867431600118,0.0,1,0.0,0.0
2024-04-18,73012.0,72995.487330849,72366.62316824235,74160.12216485776,0.0,-0.00022618934854999191,-0.0,1,0.0,-0.0
2024-04-19,73119.0,72929.5887688544,71766.31890836768,73584.42626288944,0.001464439703040957,-0.0011293729306405332,-0.0,1,0.0,-0.0
2024-04-22,73119.0,72669.64040888194,71860.53138937363,73668.8152889193,0.0,-0.006164554561916468,-0.0,1,0.0,-0.0
2024-04-23,72723.0,72464.32082548724,71738.41733257375,73534.90216855607,-0.005430547759870799,-0.008993936721965124,-0.0,1,0.0,0.0
2024-04-24,71315.0,72079.56964792134,71324.82645914276,73141.45947990139,-0.01955101916832237,-0.008887060339787622,-0.0,1,0.0,0.0
2024-04-25,71700.0,71686.04604380741,70709.32117201069,72509.52001918534,0.005384063630189123,0.005189428843588256,0.0,1,0.0,0.0
2024-04-26,71794.0,71573.00848847076,71129.01138227581,72910.65833073258,0.0013101594972062265,-0.0017727211304533316,-0.0,1,0.0,-0.0
2024-04-29,71794.0,71652.07339996028,70934.3411233814,72719.61688081338,0.0,-0.0019788153553139953,-0.0,1,0.0,-0.0
2024-04-30,72228.0,71482.47526702807,71225.71105339182,73084.86937799108,0.006026875250853187,-0.0043485886054638965,-0.0,1,0.0,-0.0
2024-05-01,71529.0,71705.64817871082,70689.12821552543,72536.82075104503,-0.00972482047925433,-0.007258262694301751,-0.0,1,0.0,0.0
2024-05-02,71529.0,71484.64732366071,70719.2655935693,72539.05804268601,0.0,-0.0006202579766510477,-0.0,1,0.0,-0.0
2024-05-03,70997.0,71403.08010237194,70012.02689865396,71860.17263117597,-0.007465339246896181,-0.0017619547706048742,-0.0,1,0.0,0.0
2024-05-06,70997.0,71041.11124727542,70095.63235924422,71913.93578396022,0.0,0.0006211184914556015,0.0,1,0.0,0.0
2024-05-07,71525.0,70908.14026341776,70013.00338371914,71822.94779297036,0.007409416308690439,-0.0012523823736294492,-0.0,1,0.0,-0.0
2024-05-08,71525.0,71402.99988364692,70773.20983068093,72571.08932105645,0.0,-0.0017071552961204172,-0.0,1,0.0,-0.0
2024-05-09,71389.0,71521.49285342732,70794.95049927081,72603.1856069311,-0.001903243083996196,-4.903505851032933e-05,-0.0,1,0.0,0.0
2024-05-10,71216.0,71335.87744722783,70529.23270482989,72343.97759206267,-0.002426283578679192,-0.0007444049863684834,-0.0,1,0.0,0.0
2024-05-13,71216.0,71672.21805411651,70888.53302024413,72676.08569060374,0.0,0.006385685406319738,0.0,1,0.0,0.0
2024-05-14,71995.0,71674.25726210221,71674.25726210221,73618.76398162707,0.010879159886735186,0.0064141368625739775,0.0,1,0.0,0.0
2024-05-15,72129.0,72154.40498874804,71226.17348225815,73076.05777486069,0.0018595104023183746,0.002211664401076031,0.0,1,0.0,0.0
2024-05-16,72720.0,72391.27831490943,71574.96883034638,73401.39071953228,0.008160267306671349,0.003629644308913977,0.0,1,0.0,0.0
2024-05-17,73016.0,72848.24293885077,71649.07921737035,73485.68824988206,0.0040621453453527625,0.001761963590950692,0.0,1,0.0,0.0
2024-05-20,73016.0,73315.86680014551,71975.39807674501,73804.73041019056,0.0,0.004098454102299358,0.0,1,0.0,0.0
2024-05-21,73932.0,73159.622969507,72268.46781082137,74109.64994628413,0.012467156605857786,0.0019650747888909146,0.0,1,0.0,0.0
2024-05-22,73912.0,73283.87197313803,72040.26429481531,73842.72794826055,-0.0002705554519898951,-0.008805194789058961,-0.0,1,0.0,0.0
2024-05-23,72557.0,73027.9906254156,72452.87012557281,74252.04433421386,-0.018502736510010293,-0.012032395486915166,-0.0,1,0.0,0.0
2024-05-24,71754.0,72499.9986117448,72198.82043662803,74049.24424913661,-0.01112885764370825,-0.0007859171461523796,-0.0,1,0.0,0.0
2024-05-27,71926.0,71982.96112026821,71246.00311570358,73076.14173739147,0.0023942104978027508,0.0031858376876520477,0.0,1,0.0,0.0
2024-05-28,71973.0,71972.27704558779,70988.62365324463,72763.89752776589,0.0006532359734440291,0.000643191122691694,0.0,1,0.0,0.0
2024-05-29,72178.0,72003.33716343193,71246.3291679103,73031.83969754764,0.002844241638271088,0.00042141874808880917,0.0,1,0.0,0.0
2024-05-30,71751.0,71996.84317575213,71139.60538408921,72948.52051613496,-0.005933498499405828,-0.0025130170506188635,-0.0,1,0.0,0.0
2024-05-31,72127.0,71865.88864043428,71445.80118661183,73254.02209894914,0.005226662255015392,0.0015999325153106176,0.0,1,0.0,0.0
2024-06-03,71486.0,72163.15093647105,71150.28678228051,72949.53530062825,-0.00892682774783934,0.0005010866922357297,0.0,1,0.0,-0.0
2024-06-04,71969.0,71941.38238071099,71121.67144875339,72938.15463666728,0.006733844412829329,0.006350027496062344,0.0,1,0.0,0.0
2024-06-05,71696.0,71824.07540369249,70615.41434970697,72447.08375933966,-0.003800512701055533,-0.0020157388660356637,-0.0,1,0.0,0.0
2024-06-06,72527.0,71805.45225443314,71296.11129924134,73090.89077826813,0.011523948281140827,0.0015254518186159833,0.0,1,0.0,0.0
2024-06-07,71748.0,71900.30928051709,70657.82678338504,72487.51130303359,-0.01079892663816038,-0.008678340070084205,-0.0,1,0.0,0.0
2024-06-10,70855.0,71512.94278192296,70196.80052253518,72079.34236571107,-0.012524444409933952,-0.0032815284395816147,-0.0,1,0.0,0.0
2024-06-11,71164.0,71166.16091654831,71166.16091654831,73232.96710921088,0.004351537295695184,0.0043819021394439365,0.0,1,0.0,0.0
2024-06-12,71318.0,71365.60089624683,69948.95573213651,71785.81223598077,0.0021616774044192193,0.0028289005150467653,0.0,1,0.0,0.0
2024-06-13,71384.0,71518.0205997642,70228.16291284925,72087.20770109064,0.0009250046209020594,0.002800704327524352,0.0,1,0.0,0.0
2024-06-14,71596.0,71282.70882912121,70258.15489856231,72098.48853854167,0.0029654518864031224,-0.001419969504163339,-0.0,1,0.0,-0.0
2024-06-17,71596.0,71420.07003399196,70191.91466584962,72025.10458758633,0.0,-0.0024602837248732584,-0.0,1,0.0,-0.0
2024-06-18,71029.0,71453.32773647136,70949.04893529005,72757.02251886911,-0.007950962131994345,-0.001994728854630415,-0.0,1,0.0,0.0
2024-06-19,71527.0,71496.4146747082,70570.64458578569,72390.91879433137,0.006986756443939526,0.006559059680754327,0.0,1,0.0,0.0
2024-06-20,71807.0,71664.32891929644,70666.47411957168,72492.38871601009,0.003906963542054308,0.0019181184005721893,0.0,1,0.0,0.0
2024-06-21,72442.0,71588.4104357874,70683.88247192613,72480.1707100939,0.008804277351606894,-0.0030487688952379995,-0.0,1,0.0,-0.0
2024-06-24,71452.0,71872.55206383904,71143.92239648031,72960.65474575685,-0.013760346103221953,-0.007891801394579949,-0.0,1,0.0,0.0
2024-06-25,71580.0,71381.2345278663,70850.0542310921,72675.21167688048,0.001789809751241682,-0.0009908825233523905,-0.0,1,0.0,-0.0
2024-06-26,71077.0,71299.33095322782,70290.30965173678,72119.96754670577,-0.0070519089072356685,-0.003928761506847112,-0.0,1,0.0,0.0
2024-06-27,71100.0,71261.03297067442,70590.1428648944,72376.52508122874,0.00032354037855110044,0.002585859441511712,0.0,1,0.0,0.0
2024-06-28,71563.0,71282.49075607407,70117.18371778356,71945.18716185914,0.00649084381451874,0.002563389009889399,0.0,1,0.0,0.0
2024-07-01,71511.0,71482.1301471299,70479.15130416998,72279.10234634527,-0.0007268966030116029,-0.001130690173131605,-0.0,1,0.0,0.0
2024-07-02,71447.0,71696.55130501164,70940.40053907814,72750.42796043339,-0.0008953679301003511,0.002591363474268251,0.0,1,0.0,-0.0
2024-07-03,71975.0,71702.50923155766,70759.98249546313,72588.79912105823,0.007362920407637679,0.003569827158652389,0.0,1,0.0,0.0
2024-07-04,72169.0,72089.78523801976,70993.11702982336,72802.41792634875,0.002691754317019592,0.0015935228323808494,0.0,1,0.0,0.0
2024-07-05,72348.0,72273.6703253866,71419.5277414847,73221.26329701429,0.0024772184800095935,0.0014492994829326976,0.0,1,0.0,0.0
2024-07-08,72550.0,72560.06172687223,71583.11399472979,73396.46789695052,0.0027881700349279637,0.0029268472123560756,0.0,1,0.0,0.0
2024-07-09,72271.0,72663.80857919417,71648.68103310918,73448.61082908964,-0.0038530371308992035,0.00156746253830031,0.0,1,0.0,-0.0
2024-07-10,72438.0,72404.19142560262,71820.85996789658,73626.12178213322,0.0023080813790075953,0.0018412481354807121,0.0,1,0.0,0.0
2024-07-11,72524.0,72677.40564548085,71828.51933623037,73619.98230589113,0.0011865179852570558,0.0032995237357994933,0.0,1,0.0,0.0
2024-07-12,72743.0,72637.92033263778,71859.58598037699,73635.96209879854,0.003015139927333604,0.0015695625376665528,0.0,1,0.0,0.0
2024-07-15,73011.0,72823.99071154905,72054.37603053951,73849.76197872066,0.0036774332371681076,0.001112762165520032,0.0,1,0.0,0.0
2024-07-16,73320.0,73130.64028896691,72001.34835081131,73806.74192159207,0.004223308243440251,0.001637320006237232,0.0,1,0.0,0.0
2024-07-17,73320.0,73115.59250556823,72278.062875804,74101.06840318113,0.0,-0.0027917751920427804,-0.0,1,0.0,-0.0
