Scheme,Cumulative Return (%),Annualized Sharpe,Maximum Drawdown (%),N Trades,N Blocked,Hit Rate % (active days),TC Drag (%)
1,1790.2199,7.2005,-6.3459,171,0,79.23,350.9176
1',197.6366,5.784,-1.3834,192,269,81.39,41.2359
