Model,RMSE,MAE,MAPE(%),sMAPE(%),DA(%),DA_pval
ES,11819.9064,8845.7517,8.5583,8.5838,42.59,0.9998
ELM,39581.3399,30398.1631,27.5423,33.9362,32.41,1.0
SVR,32054.9945,23893.2567,21.3654,25.2085,32.41,1.0
RF,36671.2567,28586.5376,26.1228,31.5852,32.41,1.0
ARIMA,1808.7043,773.6026,0.7267,0.7254,17.96,1.0
MLP,82403.2813,68258.2852,64.4234,109.716,33.15,1.0
LSTM,48584.688,37135.4731,33.5088,43.8532,32.41,1.0
Naive(RW),1808.7043,773.6026,0.7267,0.7254,17.96,1.0
