Model,RMSE,MAE,MAPE(%),sMAPE(%),DA(%),DA_pval
ES,48973.9063,27884.6322,15.0197,16.9727,55.14,0.1669
ARIMA,78971.9781,49444.7814,26.8798,35.5361,32.71,0.9999
SVR,108208.756,88871.8095,60.7454,89.6475,32.71,0.9999
RF,77251.7167,46716.5147,24.5603,32.5745,40.19,0.9835
MLP,125345.7784,115298.9715,86.7334,153.3556,32.71,0.9999
ELM,105626.6657,71874.2704,43.0243,62.9755,32.71,0.9999
LSTM,147913.9698,134450.2351,99.9913,199.9652,32.71,0.9999
