date,sentiment
2008-01-06,0.3447041594115644
2008-01-13,0.3129552367024435
2008-01-20,0.3522528786660374
2008-01-27,0.39601994458140405
2008-02-03,0.5542894301424919
2008-02-10,0.5542902510311997
2008-02-17,0.6449577396540283
2008-02-24,0.6043688353363041
2008-03-02,-0.02197529535426471
2008-03-09,0.02862642612178113
2008-03-16,-0.021672460698140217
2008-03-23,-0.02178806373602995
2008-03-30,0.013596537520784602
2008-04-06,0.2373691471432885
2008-04-13,0.24678726775052673
2008-04-20,0.30491878291412977
2008-04-27,0.2823916033594572
2008-05-04,0.5486059423564522
2008-05-11,0.48749237195062795
2008-05-18,0.46227839065992393
2008-05-25,0.6061760141727662
2008-06-01,0.07121684180356523
2008-06-08,0.08588206706228821
2008-06-15,0.01126824751721918
2008-06-22,0.05528652060163288
2008-06-29,0.08805178631338532
2008-07-06,-0.1771787465421177
2008-07-13,-0.10084416675371896
2008-07-20,-0.1496610021669428
2008-07-27,-0.13421375516066641
2008-08-03,0.5167292827327525
2008-08-10,0.6394285225696693
2008-08-17,0.5461397521073257
2008-08-24,0.49392906689642746
2008-08-31,0.5879418589493819
2008-09-07,0.2763637433131517
2008-09-14,0.3478491055619406
2008-09-21,0.23942241961771404
2008-09-28,0.27099662336678126
2008-10-05,-0.38317649894487893
2008-10-12,-0.3560962317385646
2008-10-19,-0.38445114667883656
2008-10-26,-0.39880197485774715
2008-11-02,0.17427527414866195
2008-11-09,0.11540435940975502
2008-11-16,0.15333824850839095
2008-11-23,0.166298520380137
2008-11-30,0.24218657023907217
2008-12-07,0.27535611745801714
2008-12-14,0.17002319521145737
2008-12-21,0.2743794014493338
2008-12-28,0.23892108895877823
2009-01-04,0.42387665205810937
2009-01-11,0.4883065665154507
2009-01-18,0.5092727281982048
2009-01-25,0.5042867580292172
2009-02-01,0.2188128910733304
2009-02-08,0.2453131484419016
2009-02-15,0.2773369388046405
2009-02-22,0.3095510235905803
2009-03-01,0.10394249881647022
2009-03-08,0.11861826187554386
2009-03-15,0.07258446200843331
2009-03-22,0.06809087950470119
2009-03-29,0.16852750182844461
2009-04-05,0.35603339836052295
2009-04-12,0.2846208908529651
2009-04-19,0.338398041826583
2009-04-26,0.30630319818436347
2009-05-03,0.3695662758982115
2009-05-10,0.41989204390388846
2009-05-17,0.4787240919517662
2009-05-24,0.40003096167297014
2009-05-31,0.48005444641916806
2009-06-07,0.3754956280378651
2009-06-14,0.5475780084611136
2009-06-21,0.5108352366542609
2009-06-28,0.491532515719059
2009-07-05,0.23049215828286523
2009-07-12,0.12652567372604548
2009-07-19,0.21492052506421452
2009-07-26,0.24375974803167744
2009-08-02,0.5443478303282847
2009-08-09,0.4445396171775265
2009-08-16,0.4300284479465495
2009-08-23,0.44536527591198205
2009-08-30,0.5162232339763125
2009-09-06,0.5953346590187792
2009-09-13,0.5524090933474431
2009-09-20,0.6045604751914628
2009-09-27,0.5837509810031971
2009-10-04,0.6364680270212815
2009-10-11,0.5529331228007693
2009-10-18,0.5716526701647485
2009-10-25,0.5684303698380291
2009-11-01,0.6295437907660026
2009-11-08,0.7175255520258373
2009-11-15,0.715772301781603
2009-11-22,0.7029752110047316
2009-11-29,0.6909901815038512
2009-12-06,0.5666702144347074
2009-12-13,0.6164064853989603
2009-12-20,0.6203030257108897
2009-12-27,0.5973248880761473
2010-01-03,0.6361651805243543
2010-01-10,0.6644320089483817
2010-01-17,0.7385387611681813
2010-01-24,0.6529583567492467
2010-01-31,0.657106985643793
2010-02-07,0.2977962605801577
2010-02-14,0.20557999560351395
2010-02-21,0.3001928625960052
2010-02-28,0.30453006686551737
2010-03-07,0.6422299187367012
2010-03-14,0.5094497648733808
2010-03-21,0.5341451802291175
2010-03-28,0.5173322246271748
2010-04-04,0.4758824271596007
2010-04-11,0.5914574697663284
2010-04-18,0.571912980674916
2010-04-25,0.5738679263927297
2010-05-02,0.3592998435705559
2010-05-09,0.4749089318570978
2010-05-16,0.3346766631706788
2010-05-23,0.43411207100030635
2010-05-30,0.5142919976007918
2010-06-06,0.10856809156922721
2010-06-13,0.12978002134562303
2010-06-20,0.1630774760801437
2010-06-27,0.13292112511995166
2010-07-04,0.41599677647453026
2010-07-11,0.49695809676813824
2010-07-18,0.44041476234153165
2010-07-25,0.517209569559596
2010-08-01,0.5216144059420706
2010-08-08,0.6450823379046378
2010-08-15,0.528422953036949
2010-08-22,0.551482541843477
2010-08-29,0.6082614785222443
2010-09-05,0.438371060506642
2010-09-12,0.5112872730585462
2010-09-19,0.5652714140424612
2010-09-26,0.41954011460027835
2010-10-03,0.5775363132512744
2010-10-10,0.5812987600370804
2010-10-17,0.6073957639135248
2010-10-24,0.5064570847807551
2010-10-31,0.5022817896704455
2010-11-07,0.475620460561523
2010-11-14,0.4643726159423374
2010-11-21,0.46204802479797197
2010-11-28,0.4668457927555269
2010-12-05,0.08427132927441586
2010-12-12,0.12988525021139058
2010-12-19,0.13292618901827447
2010-12-26,0.08255499445202202
2011-01-02,0.42782019599082427
2011-01-09,0.3582231164791758
2011-01-16,0.274966295573454
2011-01-23,0.36735915086527793
