date,silver
2016-01-10,13.907999992370604
2016-01-17,13.883999824523926
2016-01-24,14.04300022125244
2016-01-31,14.229000091552734
2016-02-07,14.763999938964844
2016-02-14,15.78499984741211
2016-02-21,15.368000030517578
2016-02-28,14.689000129699709
2016-03-06,15.680999755859377
2016-03-13,15.607000350952148
2016-03-20,15.805999755859377
2016-03-27,15.190999984741213
2016-04-03,15.041999816894531
2016-04-10,15.381999969482422
2016-04-17,16.30900001525879
2016-04-24,16.895999908447266
2016-05-01,17.788999557495117
2016-05-08,17.506999969482422
2016-05-15,17.114999771118164
2016-05-22,16.518999099731445
2016-05-29,16.246000289916992
2016-06-05,16.34600067138672
2016-06-12,17.315000534057617
2016-06-19,17.399999618530273
2016-06-26,17.78499984741211
2016-07-03,19.54400062561035
2016-07-10,20.058000564575195
2016-07-17,20.125
2016-07-24,19.65699958801269
2016-07-31,20.312000274658203
2016-08-07,19.780000686645508
2016-08-14,19.67200088500977
2016-08-21,19.301000595092773
2016-08-28,18.645000457763672
2016-09-04,19.275999069213867
2016-09-11,19.28199958801269
2016-09-18,18.7810001373291
2016-09-25,19.732999801635746
2016-10-02,19.138999938964844
2016-10-09,17.323999404907227
2016-10-16,17.39299964904785
2016-10-23,17.447999954223633
2016-10-30,17.761999130249023
2016-11-06,18.34199905395508
2016-11-13,18.715999603271484
2016-11-20,16.613000869750977
2016-11-27,16.464000701904297
2016-12-04,16.753000259399414
2016-12-11,16.89699935913086
2016-12-18,16.152999877929688
2016-12-25,15.70400047302246
2017-01-01,15.935999870300291
2017-01-08,16.465999603271484
2017-01-15,16.719999313354492
2017-01-22,16.996999740600586
2017-01-29,17.100000381469727
2017-02-05,17.452999114990234
2017-02-12,17.91200065612793
2017-02-19,18.018999099731445
2017-02-26,18.334999084472656
2017-03-05,17.69700050354004
2017-03-12,16.882999420166016
2017-03-19,17.378999710083008
2017-03-26,17.719999313354492
2017-04-02,18.23500061035156
2017-04-09,18.1299991607666
2017-04-16,18.48900032043457
2017-04-23,17.829999923706055
2017-04-30,17.19099998474121
2017-05-07,16.21500015258789
2017-05-14,16.34600067138672
2017-05-21,16.75
2017-05-28,17.283000946044922
2017-06-04,17.48699951171875
2017-06-11,17.19300079345703
2017-06-18,16.63599967956543
2017-06-25,16.628000259399414
2017-07-02,16.56800079345703
2017-07-09,15.371000289916992
2017-07-16,15.883999824523926
2017-07-23,16.40999984741211
2017-07-30,16.663999557495117
2017-08-06,16.222000122070312
2017-08-13,17.041000366210938
2017-08-20,16.979999542236328
2017-08-27,17.038000106811523
2017-09-03,17.7189998626709
2017-09-10,18.027000427246094
2017-09-17,17.611000061035156
2017-09-24,16.902999877929688
2017-10-01,16.60700035095215
2017-10-08,16.733999252319336
2017-10-15,17.354999542236328
2017-10-22,17.02199935913086
2017-10-29,16.70199966430664
2017-11-05,16.79400062561035
2017-11-12,16.8439998626709
2017-11-19,17.357999801635742
2017-11-26,16.981000900268555
2017-12-03,16.297000885009766
2017-12-10,15.736000061035156
2017-12-17,15.977999687194824
2017-12-24,16.35700035095215
2017-12-31,17.059999465942383
2018-01-07,17.204999923706055
2018-01-14,17.069000244140625
2018-01-21,16.975000381469727
2018-01-28,17.381999969482422
2018-02-04,16.676000595092773
2018-02-11,16.115999221801758
2018-02-18,16.69499969482422
2018-02-25,16.47599983215332
2018-03-04,16.392000198364258
2018-03-11,16.54599952697754
2018-03-18,16.20199966430664
2018-03-25,16.530000686645508
2018-04-01,16.222999572753906
2018-04-08,16.332000732421875
2018-04-15,16.628000259399414
2018-04-22,17.14699935913086
2018-04-29,16.4060001373291
2018-05-06,16.43400001525879
2018-05-13,16.676000595092773
2018-05-20,16.386999130249023
2018-05-27,16.481000900268555
2018-06-03,16.38800048828125
2018-06-10,16.694000244140625
2018-06-17,16.45199966430664
2018-06-24,16.43899917602539
2018-07-01,16.104000091552734
2018-07-08,15.980999946594238
2018-07-15,15.73900032043457
2018-07-22,15.489999771118164
2018-07-29,15.435999870300291
2018-08-05,15.406000137329102
2018-08-12,15.265999794006348
2018-08-19,14.616000175476074
2018-08-26,14.779000282287598
2018-09-02,14.437999725341797
2018-09-09,14.06700038909912
2018-09-16,14.041999816894531
2018-09-23,14.269000053405762
2018-09-30,14.623000144958496
2018-10-07,14.569000244140623
2018-10-14,14.564000129699709
2018-10-21,14.57900047302246
2018-10-28,14.635000228881836
2018-11-04,14.70699977874756
2018-11-11,14.102999687194824
2018-11-18,14.357999801635742
2018-11-25,14.220999717712402
2018-12-02,14.093999862670898
2018-12-09,14.571999549865724
2018-12-16,14.512999534606934
2018-12-23,14.583000183105469
2018-12-30,15.326000213623049
2019-01-06,15.69499969482422
2019-01-13,15.57699966430664
2019-01-20,15.329999923706056
2019-01-27,15.638999938964844
2019-02-03,15.880000114440918
2019-02-10,15.77299976348877
2019-02-17,15.722999572753906
2019-02-24,15.907999992370604
2019-03-03,15.168999671936035
2019-03-10,15.272000312805176
2019-03-17,15.253000259399414
2019-03-24,15.345000267028809
2019-03-31,15.0600004196167
2019-04-07,15.04300022125244
2019-04-14,14.920000076293944
2019-04-21,14.937000274658203
2019-04-28,15.001999855041504
2019-05-05,14.906999588012695
2019-05-12,14.72599983215332
2019-05-19,14.347999572753906
2019-05-26,14.520000457763672
2019-06-02,14.529999732971191
2019-06-09,14.994000434875488
2019-06-16,14.781999588012695
2019-06-23,15.27299976348877
2019-06-30,15.253000259399414
2019-07-07,14.91800022125244
2019-07-14,15.16100025177002
2019-07-21,16.117000579833984
2019-07-28,16.325000762939453
