Model,RMSE,MAE,MAPE(%),sMAPE(%),DA(%),DA_pval
ES,290892.5836,240120.5762,162.4014,174.1279,21.67,1.0
ELM,79955.0992,51531.6476,28.5365,37.4946,22.04,1.0
SVR,72075.1118,47002.1664,26.5284,33.475,22.04,1.0
RF,84302.553,55925.6936,31.7066,42.2925,21.85,1.0
ARIMA,5951.7781,1959.4455,1.113,1.1056,42.59,0.9998
MLP,547306.2399,201529.719,102.4277,78.7664,22.22,1.0
LSTM,69666.4701,42426.3705,22.4181,28.4814,22.59,1.0
Naive(RW),5951.7781,1959.4455,1.113,1.1056,42.59,0.9998
