Variable,Mean,Std. Dev.,Min,Max
mcx_silver,71461.6181,42788.3398,34867.0,379983.0
gold_usd,1832.1723,790.4743,1050.8,5318.3999
brent,66.7215,17.5991,19.33,127.98
usdinr,74.5023,8.0425,61.41,93.7075
nifty50,14725.0554,5855.3082,6970.6,26328.55
vix_india,16.6437,6.183,9.15,83.6075
mcx_gold,50030.3362,26660.013,24562.0,175231.0
geo_risk,110.7953,60.7375,0.0,564.934
trends_raw,6.9274,13.06,0.7249,100.0
india_epu,87.0738,38.7777,23.3528,197.8025
sentiment_silver,0.0787,0.1646,-0.6471,0.8067
