Scheme,Cumulative Return (%),Annualized Sharpe,Maximum Drawdown (%),N Trades,N Blocked,Hit Rate % (active days),TC Drag (%)
1,10316.8395,6.3343,-6.5004,173,0,82.58,1956.9801
1',133.611,3.0915,-1.2594,69,425,80.88,11.4171
