date,mcx_silver
2012-06-17,33698.0
2012-06-24,34355.0
2012-07-01,33625.0
2012-07-08,32872.0
2012-07-15,33729.0
2012-07-22,33358.0
2012-07-29,33006.0
2012-08-05,33469.0
2012-08-12,33100.0
2012-08-19,33748.0
2012-08-26,34110.0
2012-09-02,34387.0
2012-09-09,35441.0
2012-09-16,36700.0
2012-09-23,37573.0
2012-09-30,37193.0
2012-10-07,37192.0
2012-10-14,36205.0
2012-10-21,37000.0
2012-10-28,36651.0
2012-11-04,36651.0
2012-11-11,36651.0
2012-11-18,36651.0
2012-11-25,36651.0
2012-12-02,36651.0
2012-12-09,36651.0
2012-12-16,36651.0
2012-12-23,39963.0
2012-12-30,40506.0
2013-01-06,41636.0
2013-01-13,40832.0
2013-01-20,40408.0
2013-01-27,40399.0
2013-02-03,39177.0
2013-02-10,38727.0
2013-02-17,38452.0
2013-02-24,39526.0
2013-03-03,40661.0
2013-03-10,41000.0
2013-03-17,42492.0
2013-03-24,42451.0
2013-03-31,44293.0
2013-04-07,45922.0
2013-04-14,46426.0
2013-04-21,46044.0
2013-04-28,46027.0
2013-05-05,46841.0
2013-05-12,47048.0
2013-05-19,47033.0
2013-05-26,46344.0
2013-06-02,45577.0
2013-06-09,43990.0
2013-06-16,44136.0
2013-06-23,44411.0
2013-06-30,45937.0
2013-07-07,44923.0
2013-07-14,45952.0
2013-07-21,45790.0
2013-07-28,45487.0
2013-08-04,41571.0
2013-08-11,42249.0
2013-08-18,41650.0
2013-08-25,41794.0
2013-09-01,42003.0
2013-09-08,43547.0
2013-09-15,43170.0
2013-09-22,44461.0
2013-09-29,40430.0
2013-10-06,40831.0
2013-10-13,41070.0
2013-10-20,39925.0
2013-10-27,40926.0
2013-11-03,39076.0
2013-11-10,38715.0
2013-11-17,38505.0
2013-11-24,39439.0
2013-12-01,40103.0
2013-12-08,40298.0
2013-12-15,40694.0
2013-12-22,40983.0
2013-12-29,41003.0
2014-01-05,41317.0
2014-01-12,41550.0
2014-01-19,41837.0
2014-01-26,42403.0
2014-02-02,42693.0
2014-02-09,42673.0
2014-02-16,42169.0
2014-02-23,41555.0
2014-03-02,40183.0
2014-03-09,40737.0
2014-03-16,40990.0
2014-03-23,41827.0
2014-03-30,41963.0
2014-04-06,41896.0
2014-04-13,42389.0
2014-04-20,41857.0
2014-04-27,41013.0
2014-05-04,40042.0
2014-05-11,38123.0
2014-05-18,37816.0
2014-05-25,38209.0
2014-06-01,38690.0
2014-06-08,39635.0
2014-06-15,39691.0
2014-06-22,40143.0
2014-06-29,39549.0
2014-07-06,38565.0
2014-07-13,38094.0
2014-07-20,38601.0
2014-07-27,38496.0
2014-08-03,36860.0
2014-08-10,36829.0
2014-08-17,37072.0
2014-08-24,37573.0
2014-08-31,37901.0
2014-09-07,37872.0
2014-09-14,37966.0
2014-09-21,39062.0
2014-09-28,39108.0
2014-10-05,38896.0
2014-10-12,39114.0
2014-10-19,39784.0
2014-10-26,41097.0
2014-11-02,40752.0
2014-11-09,40118.0
2014-11-16,39210.0
2014-11-23,39357.0
2014-11-30,38975.0
2014-12-07,39406.0
2014-12-14,39783.0
2014-12-21,39267.0
2014-12-28,39267.0
2015-01-04,38705.0
2015-01-11,39354.0
2015-01-18,39527.0
2015-01-25,39346.0
2015-02-01,39478.0
2015-02-08,39338.0
2015-02-15,37974.0
2015-02-22,37585.0
2015-03-01,37158.0
2015-03-08,36644.0
2015-03-15,37097.0
2015-03-22,37867.0
2015-03-29,38715.0
2015-04-05,38643.0
2015-04-12,38567.0
2015-04-19,38767.0
2015-04-26,38714.0
2015-05-03,39700.0
2015-05-10,39237.0
2015-05-17,38788.0
2015-05-24,37792.0
2015-05-31,38709.0
2015-06-07,38315.0
2015-06-14,38449.0
2015-06-21,38010.0
2015-06-28,38313.0
2015-07-05,38212.0
2015-07-12,37948.0
2015-07-19,38219.0
2015-07-26,38325.0
2015-08-02,37824.0
2015-08-09,38212.0
2015-08-16,38485.0
2015-08-23,40106.0
2015-08-30,39297.0
2015-09-06,38777.0
2015-09-13,38981.0
2015-09-20,39687.0
2015-09-27,39427.0
2015-10-04,40099.0
2015-10-11,40229.0
2015-10-18,39246.0
2015-10-25,39805.0
2015-11-01,40388.0
2015-11-08,41364.0
2015-11-15,39626.0
2015-11-22,39425.0
2015-11-29,38930.0
2015-12-06,39264.0
2015-12-13,38649.0
2015-12-20,37653.0
2015-12-27,38149.0
2016-01-03,37774.0
2016-01-10,37653.0
2016-01-17,37590.0
2016-01-24,37849.0
2016-01-31,36660.0
2016-02-07,36640.0
2016-02-14,37039.0
2016-02-21,37096.0
2016-02-28,36389.0
2016-03-06,36565.0
2016-03-13,36689.0
2016-03-20,37077.0
2016-03-27,37006.0
2016-04-03,38291.0
2016-04-10,37855.0
2016-04-17,38267.0
2016-04-24,38248.0
2016-05-01,38441.0
2016-05-08,37899.0
2016-05-15,38299.0
2016-05-22,38205.0
2016-05-29,36490.0
2016-06-05,36752.0
2016-06-12,36798.0
2016-06-19,35519.0
2016-06-26,36308.0
2016-07-03,37379.0
2016-07-10,37375.0
2016-07-17,36635.0
2016-07-24,37722.0
2016-07-31,38264.0
2016-08-07,38775.0
2016-08-14,39129.0
2016-08-21,39220.0
2016-08-28,38782.0
2016-09-04,38826.0
2016-09-11,40439.0
2016-09-18,40028.0
2016-09-25,39761.0
2016-10-02,39767.0
2016-10-09,40121.0
2016-10-16,40128.0
2016-10-23,39195.0
2016-10-30,38225.0
2016-11-06,37993.0
2016-11-13,37713.0
2016-11-20,38067.0
2016-11-27,37270.0
2016-12-04,37561.0
2016-12-11,37274.0
2016-12-18,37180.0
2016-12-25,37191.0
2017-01-01,37532.0
2017-01-08,36474.0
2017-01-15,36901.0
2017-01-22,36983.0
2017-01-29,36383.0
2017-02-05,36367.0
2017-02-12,36225.0
2017-02-19,36357.0
2017-02-26,36937.0
2017-03-05,36720.0
2017-03-12,36979.0
2017-03-19,37860.0
2017-03-26,37425.0
2017-04-02,37152.0
2017-04-09,37390.0
2017-04-16,37733.0
2017-04-23,40624.0
2017-04-30,41074.0
2017-05-07,40682.0
2017-05-14,40746.0
2017-05-21,43009.0
2017-05-28,43568.0
2017-06-04,43242.0
2017-06-11,43708.0
2017-06-18,46688.0
2017-06-25,49846.0
2017-07-02,46905.0
2017-07-09,46250.0
2017-07-16,45686.0
2017-07-23,47375.0
2017-07-30,44190.0
2017-08-06,45086.0
2017-08-13,45257.0
2017-08-20,44804.0
2017-08-27,45203.0
2017-09-03,46820.0
2017-09-10,46736.0
2017-09-17,45540.0
2017-09-24,44178.0
2017-10-01,44323.0
2017-10-08,44942.0
2017-10-15,44319.0
2017-10-22,44132.0
2017-10-29,44062.0
2017-11-05,43884.0
2017-11-12,44183.0
2017-11-19,45018.0
2017-11-26,46192.0
2017-12-03,47307.0
2017-12-10,47752.0
2017-12-17,46189.0
2017-12-24,46527.0
2017-12-31,45807.0
2018-01-07,46573.0
2018-01-14,46383.0
2018-01-21,46205.0
2018-01-28,45842.0
2018-02-04,46433.0
2018-02-11,47551.0
2018-02-18,45509.0
2018-02-25,46114.0
2018-03-04,45854.0
2018-03-11,42984.0
2018-03-18,37379.0
2018-03-25,36871.0
2018-04-01,36871.0
2018-04-08,36871.0
2018-04-15,36871.0
2018-04-22,36871.0
2018-04-29,36871.0
2018-05-06,36871.0
2018-05-13,36871.0
2018-05-20,36871.0
2018-05-27,36871.0
2018-06-03,36871.0
2018-06-10,36871.0
2018-06-17,36871.0
2018-06-24,36871.0
2018-07-01,47781.0
2018-07-08,47705.0
2018-07-15,47973.0
2018-07-22,48657.0
2018-07-29,48280.0
2018-08-05,48458.0
2018-08-12,50008.0
2018-08-19,51543.0
2018-08-26,51575.0
2018-09-02,59821.0
2018-09-09,64155.0
2018-09-16,63877.0
2018-09-23,73755.0
2018-09-30,67317.0
2018-10-07,66444.0
2018-10-14,65333.0
2018-10-21,64613.0
2018-10-28,64098.0
2018-11-04,64653.0
2018-11-11,65139.0
2018-11-18,65454.0
2018-11-25,57323.0
2018-12-02,59539.0
2018-12-09,60009.0
2018-12-16,60813.0
2018-12-23,61330.0
2018-12-30,61836.0
2019-01-06,62578.0
2019-01-13,60471.0
2019-01-20,62543.0
2019-01-27,61655.0
2019-02-03,62609.0
2019-02-10,62028.0
