date,metal,avg_tone,avg_positive,avg_negative,avg_net_sentiment,article_count
2023-01-01,gold,2.5943084816510633,5.3997626071012581,2.8054541254501961,2.594308481651062,12
2023-01-02,gold,0.21259279390443109,3.94276740980444,3.7301746159000087,0.21259279390443142,55
2023-01-02,silver,-3.178405872106933,4.6678575602263805,7.84626343233332,-3.1784058721069393,2
2023-01-03,gold,2.016498463421903,4.2207676612205782,2.2042691977986766,2.0164984634219016,70
2023-01-03,silver,-3.49761526232115,3.81558028616852,7.31319554848967,-3.49761526232115,1
2023-01-04,gold,1.4967801743065268,4.4299695795415461,2.9331894052350203,1.4967801743065259,62
2023-01-04,silver,2.08900999091735,3.54223433242507,1.45322434150772,2.08900999091735,1
2023-01-05,gold,1.3906179391336588,4.0701180747015737,2.6795001355679142,1.3906179391336595,48
2023-01-06,gold,0.90446349946346616,3.6398940011711169,2.7354305017076506,0.90446349946346638,43
2023-01-07,gold,2.9622602524977997,5.4357745177468306,2.4735142652490314,2.9622602524977992,32
2023-01-08,gold,1.4264092045964634,4.5147820336647726,3.0883728290683088,1.4264092045964638,15
2023-01-09,gold,2.0367021958190183,4.6800003070093,2.6432981111902825,2.0367021958190179,76
2023-01-09,silver,1.0221382345109904,5.20180369414347,4.17966545963248,1.0221382345109902,2
2023-01-10,gold,1.0912638856064913,3.9045651709434459,2.813301285336955,1.0912638856064909,64
2023-01-10,silver,1.0806261618372917,4.34708015070286,3.2664539888655666,1.0806261618372934,3
2023-01-11,gold,0.46993474856915052,3.6053483390574739,3.1354135904883247,0.46993474856914919,72
2023-01-11,silver,1.7048169633967933,3.2871791555342424,1.5823621921374484,1.704816963396794,4
2023-01-12,gold,2.2021372973839966,4.54312923454952,2.3409919371655228,2.202137297383997,53
2023-01-12,silver,-1.7190481958235986,3.7463776131003,5.4654258089239,-1.7190481958236,2
2023-01-13,gold,1.825135000245824,4.5129936911411548,2.68785869089533,1.8251350002458246,57
2023-01-13,silver,0.47536490061175019,4.4895494237791205,4.01418452316737,0.47536490061175041,2
2023-01-14,gold,2.379113046554846,4.7976648989666675,2.41855185241182,2.3791130465548473,25
2023-01-15,gold,2.0689498254750642,4.9623457089054108,2.8933958834303439,2.0689498254750669,27
2023-01-16,gold,2.2046897404277748,4.6727059649345106,2.4680162245067359,2.2046897404277748,70
2023-01-16,silver,0.90969745493470267,4.7650757193676441,3.8553782644329435,0.90969745493470056,3
2023-01-17,gold,1.7247740477253335,4.4495606659216191,2.7247866181962856,1.7247740477253335,67
2023-01-18,gold,2.9812910796753882,5.0565676679620246,2.0752765882866364,2.9812910796753882,41
2023-01-19,gold,3.138805628171125,5.4428307111381615,2.3040250829670383,3.1388056281711232,62
2023-01-19,silver,1.1281950840628063,4.29039254100246,3.1621974569396603,1.1281950840628001,2
2023-01-20,gold,0.80324417002772408,3.4858162524859422,2.6825720824582171,0.80324417002772508,68
2023-01-21,gold,2.1806461241351656,4.6489309051682408,2.4682847810330752,2.1806461241351656,32
2023-01-22,gold,2.3386873264746675,4.5237533607779152,2.1850660343032491,2.3386873264746662,22
2023-01-22,silver,0.653269899879287,4.20364979052759,3.5503798906483,0.65326989987928963,1
2023-01-23,gold,1.7198970376397051,4.4906337829512575,2.7707367453115528,1.7198970376397047,70
2023-01-23,silver,-0.205263543728466,3.32820174474012,3.53346528846859,-0.20526354372846978,1
2023-01-24,gold,2.3967687545348166,5.1193205322426918,2.7225517777078734,2.3967687545348184,85
2023-01-24,silver,-0.228043543589163,3.712808885824793,3.9408524294139569,-0.2280435435891639,3
2023-01-25,gold,1.7661544720066105,4.3523470139595961,2.5861925419529856,1.7661544720066105,62
2023-01-25,silver,-2.769428939459,3.13439244310863,5.90382138256763,-2.769428939459,1
2023-01-26,gold,1.5165079421675522,4.0837531248027918,2.5672451826352378,1.516507942167554,52
2023-01-26,silver,-0.68678699160729206,3.63380961491934,4.32059660652663,-0.68678699160728973,3
2023-01-27,gold,0.89135291509555392,3.8276845458734203,2.9363316307778677,0.89135291509555259,51
2023-01-27,silver,0.02539974650737864,4.5592459815088864,4.5338462350015067,0.025399746507379639,3
2023-01-28,gold,1.4677798935116979,4.61488038988411,3.147100496372413,1.4677798935116972,31
2023-01-29,gold,-0.056136670587876081,2.9627573614604836,3.0188940320483622,-0.056136670587878523,38
2023-01-29,silver,2.50440658049354,5.69917743830787,3.19477085781434,2.5044065804935296,1
2023-01-30,gold,1.863935892778336,4.5441321724392489,2.6801962796609127,1.8639358927783363,60
2023-01-31,gold,1.7181038352741185,4.3530161581284785,2.6349123228543592,1.7181038352741194,90
2023-01-31,silver,2.43986550564704,4.42279506854039,1.98292956289335,2.43986550564704,1
2023-02-01,gold,2.1387004043681341,4.5174250126270445,2.3787246082589109,2.1387004043681337,59
2023-02-01,silver,1.3351802174665239,3.8850454363434097,2.549865218876886,1.3351802174665237,5
2023-02-02,gold,2.707147808446392,4.9057093941137531,2.1985615856673597,2.7071478084463934,58
2023-02-02,silver,-4.20496772931743,3.54977508312145,7.75474281243888,-4.2049677293174295,1
2023-02-03,gold,1.5828575607817574,4.0169637322494358,2.434106171467679,1.5828575607817568,39
2023-02-03,silver,2.4728245152447448,5.3652648204513653,2.8924403052066197,2.4728245152447457,2
2023-02-04,gold,2.2568586604628518,4.9560781207995035,2.6992194603366531,2.2568586604628504,17
2023-02-05,gold,2.0530853307331771,4.9654925588665018,2.9124072281333233,2.0530853307331784,15
2023-02-05,silver,3.65031192041814,6.65992244140954,3.0096105209914,3.65031192041814,1
2023-02-06,gold,1.8871256129492466,4.6967978838282587,2.8096722708790125,1.8871256129492462,64
2023-02-06,silver,2.62208323310079,5.09983160933365,2.47774837623286,2.62208323310079,1
2023-02-07,gold,1.9234737939255901,4.270077618479311,2.3466038245537222,1.9234737939255888,50
2023-02-07,silver,2.09318028359217,5.04914097081552,2.95596068722335,2.09318028359217,1
