Model,RMSE,MAE,MAPE(%),sMAPE(%),DA(%),DA_pval
ES,44434.4288,24157.0781,13.7717,15.3084,54.9,0.1865
ARIMA,71519.2958,43552.1692,24.9488,32.4051,31.37,1.0
SVR,100694.076,83094.3194,59.8185,87.4467,31.37,1.0
RF,69937.9878,40934.5568,22.6507,29.5324,39.22,0.9889
MLP,123461.5878,113941.2516,89.3315,161.5723,31.37,1.0
ELM,97421.3781,76407.2486,54.525,80.0955,31.37,1.0
LSTM,140545.9516,128552.847,99.9912,199.9647,31.37,1.0
Naive (RW),11219.7745,5247.5146,3.258,3.2559,0.0,1.0
